"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"TotaalVerdachtenVanMisdrijven_1"
"14927";"T001038";"53105";"1012600";"2013356";"2022JJ00";
"14941";"T001038";"53105";"1012600";"2013357";"2012JJ00";
"14942";"T001038";"53105";"1012600";"2013357";"2013JJ00";
"14943";"T001038";"53105";"1012600";"2013357";"2014JJ00";
"14944";"T001038";"53105";"1012600";"2013357";"2015JJ00";
"14945";"T001038";"53105";"1012600";"2013357";"2016JJ00";
"14946";"T001038";"53105";"1012600";"2013357";"2017JJ00";
"14947";"T001038";"53105";"1012600";"2013357";"2018JJ00";
"14948";"T001038";"53105";"1012600";"2013357";"2019JJ00";
"14949";"T001038";"53105";"1012600";"2013357";"2020JJ00";
"14950";"T001038";"53105";"1012600";"2013357";"2021JJ00";
"14951";"T001038";"53105";"1012600";"2013357";"2022JJ00";
"14965";"T001038";"53105";"1012600";"2820719";"2012JJ00";
"14966";"T001038";"53105";"1012600";"2820719";"2013JJ00";
"14967";"T001038";"53105";"1012600";"2820719";"2014JJ00";
"14968";"T001038";"53105";"1012600";"2820719";"2015JJ00";
"14969";"T001038";"53105";"1012600";"2820719";"2016JJ00";
"14970";"T001038";"53105";"1012600";"2820719";"2017JJ00";
"14971";"T001038";"53105";"1012600";"2820719";"2018JJ00";
"14972";"T001038";"53105";"1012600";"2820719";"2019JJ00";
"14973";"T001038";"53105";"1012600";"2820719";"2020JJ00";
"14974";"T001038";"53105";"1012600";"2820719";"2021JJ00";
"14975";"T001038";"53105";"1012600";"2820719";"2022JJ00";
"14989";"T001038";"53105";"2012605";"T001040";"2012JJ00";"29330"
"14990";"T001038";"53105";"2012605";"T001040";"2013JJ00";"27180"
"14991";"T001038";"53105";"2012605";"T001040";"2014JJ00";"24730"
"14992";"T001038";"53105";"2012605";"T001040";"2015JJ00";"22310"
"14993";"T001038";"53105";"2012605";"T001040";"2016JJ00";"20690"
"14994";"T001038";"53105";"2012605";"T001040";"2017JJ00";"19190"
"14995";"T001038";"53105";"2012605";"T001040";"2018JJ00";"18820"
"14996";"T001038";"53105";"2012605";"T001040";"2019JJ00";"19470"
